address,latitude,longitude,status,original_index
14XX CENTRE PLACE DR DENTON TX ,33.1976901,-97.1289907,VALID,240.0
15XX I 35 W DENTON TX ,33.1648139,-97.1855749,VALID,241.0
3XX MARIETTA ST DENTON TX ,33.2172696,-97.151869,VALID,242.0
66XX GRISSOM RD DENTON TX ,33.2020935,-97.063071,VALID,243.0
1XX DUCHESS DR DENTON TX ,33.2096291,-97.0996858,VALID,244.0
8XX ALLEN ST DENTON TX ,33.2069002,-97.1285035,VALID,245.0
19XX SAM BASS BLVD DENTON TX ,33.1925527,-97.1312411,VALID,246.0
NORTH TEXAS BLVD DENTON TX ,33.2064112,-97.1534274,VALID,247.0
9XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID,248.0
25XX STOCKBRIDGE RD DENTON TX ,33.1839991,-97.0916819,VALID,249.0
24XX N BELL AVE DENTON TX ,33.2310843,-97.1272288,VALID,250.0
38XX INWOOD CT DENTON TX ,33.2521132,-97.1083856,VALID,251.0
39XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID,252.0
35XX WOODTHRUSH LN DENTON TX ,33.2172858,-97.0933806,VALID,253.0
1XX W MULBERRY ST DENTON TX ,33.2135492,-97.1427608,VALID,254.0
58XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,255.0
132XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,256.0
28XX FORT WORTH DR DENTON TX ,33.1675471,-97.1532309,VALID,257.0
31XX WAGON TRAIL DR DENTON TX ,33.2105967,-97.0983387,VALID,258.0
5XX E EL PASEO ST DENTON TX ,33.1681658,-97.1268846,VALID,259.0
28XX N ELM ST DENTON TX ,33.2483035,-97.1480169,VALID,260.0
29XX SHORELINE DR DENTON TX ,33.1734496,-97.0992169,VALID,261.0
50XX PELICAN CT DENTON TX ,33.1743231,-97.0786659,VALID,262.0
1XX E OAK ST DENTON TX ,33.2153379,-97.124989,VALID,263.0
9XX W CONGRESS ST DENTON TX ,33.219372,-97.1407651,VALID,264.0
4XX PONDER AVE DENTON TX ,33.2194588,-97.1446415,VALID,265.0
10XX E HICKORY ST DENTON TX ,33.2144196,-97.1253362,VALID,266.0
49XX I 35 DENTON TX ,33.2802739,-97.177933,VALID,267.0
7XX OAKLAND ST DENTON TX ,33.2209425,-97.1299558,VALID,268.0
50XX TEASLEY LN DENTON TX ,33.1678163,-97.1103429,VALID,269.0
5XX OAKLAND ST DENTON TX ,33.2209425,-97.1299558,VALID,270.0
