original_index,address,latitude,longitude,status
292,5XX W HICKORY ST DENTON TX ,33.2146565,-97.1475676,VALID
293,5XX S CARROLL BLVD DENTON TX ,33.2093664,-97.137149,VALID
294,1XX INDUSTRIAL ST DENTON TX ,33.211199,-97.1301502,VALID
295,13XX BAYFIELD ST DENTON TX ,33.2300635,-97.0940433,VALID
296,4XX CORONADO DR DENTON TX ,33.2394263,-97.1271636,VALID
297,35XX QUAIL CREEK DR DENTON TX ,33.1860396,-97.0939245,VALID
298,10XX FULTON ST DENTON TX ,33.2229049,-97.1433472,VALID
299,13XX FULTON ST DENTON TX ,33.2229049,-97.1433472,VALID
300,1XX W OAK ST DENTON TX ,33.2157359,-97.1545246,VALID
301,JOHNSON ST DENTON TX ,33.203311,-97.1310622,VALID
302,6XX W EAGLE DR DENTON TX ,33.206632,-97.14474,VALID
303,22XX W OAK ST DENTON TX ,33.2157359,-97.1545246,VALID
304,19XX DENISON ST DENTON TX ,33.2345695,-97.1357041,VALID
305,7XX TEXAS ST DENTON TX ,33.2222473,-97.123652,VALID
306,23XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID
307,37XX POCKRUS PAGE RD DENTON TX ,33.1709825,-97.077112,VALID
308,11XX MULKEY LN DENTON TX ,33.2215732,-97.1112194,VALID
309,18XX E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID
310,8XX S I 35 E DENTON TX ,33.1814754,-97.102065,VALID
311,E MCKINNEY ST DENTON TX ,33.2115705,-97.0875966,VALID
312,9XX HILL ST DENTON TX ,33.204549,-97.1252899,VALID
313,30XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID
314,61XX ST JAMES PL DENTON TX ,33.1525246,-97.1003187,VALID
315,29XX W UNIVERSITY DR DENTON TX ,33.2303119,-97.1816464,VALID
316,2XX MAPLE ST DENTON TX ,33.2082019,-97.1428479,VALID
317,20XX CHERRYWOOD LN DENTON TX ,33.2339297,-97.1219013,VALID
318,6XX OAKLAND ST DENTON TX ,33.2209425,-97.1299558,VALID
